YearsExperience,TechnicalSkills,CommunicationSkills,ProblemSolving,Leadership,PerformanceRating
8.466572533,6.18236291,1.1088554,3.121114056,9.399429268,5.655666833
1.966228861,1.119397339,3.003386653,2.428905281,5.12547266,2.728678159
9.815927672,6.228891461,3.273260428,1.224223332,9.772806748,6.063021928
6.998892956,9.239615216,7.863911953,1.185024158,2.12563505,5.482615867
8.718699438,9.290857375,6.230540331,9.025911055,9.344889669,8.522179574
2.373770864,1.013482374,4.377740782,1.278925792,2.162858742,2.241355711
3.306442532,6.961961785,2.29453977,1.846152456,4.065037543,3.694826817
6.487917375,4.704069991,5.783837105,8.04430441,3.382623702,5.680550517
1.861920016,2.061748689,1.895161724,3.848970784,1.264691808,2.186498604
5.499287625,2.05630873,3.821297841,8.054989803,1.4450112,4.17537904
5.758080621,5.144507606,8.173918716,1.021120817,6.503346219,5.320194796
8.212343642,6.530335775,1.525674195,9.150018075,4.927401722,6.069154682
8.934991478,9.842762572,3.362922743,4.841440104,4.394943727,6.275412125
1.424386905,5.236261671,9.00501326,8.344635904,8.435673326,6.489194213
6.030793843,6.924569371,9.412136722,8.296142904,8.565919291,7.845912426
1.253911893,8.135892152,4.061930579,4.062478117,4.740210889,4.450884726
7.111658719,3.673691179,3.60147407,8.746040614,1.875763772,5.001725671
4.392990029,7.281847549,6.75094954,7.251993821,8.781027366,6.891761661
1.069547342,4.71826123,7.544725125,1.967869799,2.473825675,3.554845834
6.971684287,8.179458851,7.107376587,2.038046787,7.421242306,6.343561764
8.347335628,5.464574964,9.219458774,1.304488492,8.018282606,6.470828093
9.205185071,7.648238787,9.95532024,8.945245552,1.897976508,7.530393231
2.611903279,9.395950987,3.17572126,4.362818524,5.248691579,4.959017126
1.443857486,2.029854094,3.22246063,8.439553141,8.079376164,4.643020303
7.261796024,6.617265613,6.745433701,8.609750054,8.314209196,7.509690917
5.637844255,8.107246342,3.829595885,8.006562052,3.500691137,5.816387934
3.315093403,1.792611753,7.746618445,4.96032738,1.220659707,3.807062138
5.758723521,4.839263713,7.213997329,3.920646049,1.423073365,4.631140795
